"Function / Thread / Logical Core / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Back-End Bound Auxiliary","Average CPU Frequency","Module","Function (Full)","Source File","Start Address","PID","TID"
"WriteFile","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","kernelbase.dll","WriteFile","[Unknown]","0x1800a1a60","0","0"
"std::vector<unsigned long long, std::allocator<unsigned long long>>::operator[]","0.002","9984000","29952000","0.333333","0","0","1","0","","0","","0","0","4.992e+09","main.exe","std::vector<unsigned long long, std::allocator<unsigned long long>>::operator[](unsigned long long) const","stl_vector.h","0x14000a0d0","0","0"
"std::vector<unsigned long long, std::allocator<unsigned long long>>::operator[]","0.025","97344000","606528000","0.160494","0.25","0","0.75","0","0.480771","0.240385","0.278844","0","0","3.89376e+09","main.exe","std::vector<unsigned long long, std::allocator<unsigned long long>>::operator[](unsigned long long)","stl_vector.h","0x140011400","0","0"
"std::vector<unsigned long long, std::allocator<unsigned long long>>::_S_max_size","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","main.exe","std::vector<unsigned long long, std::allocator<unsigned long long>>::_S_max_size(std::allocator<unsigned long long> const&)","stl_vector.h","0x1400103c0","0","0"
"std::vector<unsigned long long, std::allocator<unsigned long long>>::_S_check_init_len","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","main.exe","std::vector<unsigned long long, std::allocator<unsigned long long>>::_S_check_init_len(unsigned long long, std::allocator<unsigned long long> const&)","stl_vector.h","0x140010d60","0","0"
"std::vector<unsigned __int128, std::allocator<unsigned __int128>>::operator[]","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","main.exe","std::vector<unsigned __int128, std::allocator<unsigned __int128>>::operator[](unsigned long long) const","stl_vector.h","0x140009f20","0","0"
"std::vector<std::vector<unsigned long long, std::allocator<unsigned long long>>, std::allocator<std::vector<unsigned long long, std::allocator<unsigned long long>>>>::operator[]","0.001","4992000","0","","0","0","1","0","0","0","0","0","0","4.992e+09","main.exe","std::vector<std::vector<unsigned long long, std::allocator<unsigned long long>>, std::allocator<std::vector<unsigned long long, std::allocator<unsigned long long>>>>::operator[](unsigned long long) const","stl_vector.h","0x140009c90","0","0"
"std::vector<std::vector<unsigned long long, std::allocator<unsigned long long>>, std::allocator<std::vector<unsigned long long, std::allocator<unsigned long long>>>>::operator[]","0","7488000","14976000","0.5","0","0","1","0","0","0","0","0","0","","main.exe","std::vector<std::vector<unsigned long long, std::allocator<unsigned long long>>, std::allocator<std::vector<unsigned long long, std::allocator<unsigned long long>>>>::operator[](unsigned long long)","stl_vector.h","0x14000f800","0","0"
"std::vector<NTTTaskArgs, std::allocator<NTTTaskArgs>>::operator[]","0","2496000","0","","0","0","1","0","0","0","0","0","0","","main.exe","std::vector<NTTTaskArgs, std::allocator<NTTTaskArgs>>::operator[](unsigned long long)","stl_vector.h","0x14000f0b0","0","0"
"std::unique_lock<std::mutex>::~unique_lock","0","0","0","0","0","0","1","0","0","0","0","0","0","0","main.exe","std::unique_lock<std::mutex>::~unique_lock(void)","unique_lock.h","0x14000ad20","0","0"
